,corner,position,grade,first_move,second_move,third_move
0,1,3,1,U,,
1,1,6,1,U',,
2,1,8,1,U2,,
3,1,9,2,U,B,
4,1,9,2,L,U,
5,1,9,2,B,L,
6,1,11,2,B,L2,
7,1,11,2,B',U2,
8,1,11,2,U2,F',
9,1,11,2,L2,F,
10,1,24,1,B,,
11,1,26,2,B,L',
12,1,26,2,U',F',
13,1,26,2,L',D,
14,1,12,1,L,,
15,1,14,2,U,R',
16,1,14,2,L,F,
17,1,14,2,B',U,
18,1,27,2,L,F',
19,1,27,2,B,D,
20,1,27,2,U',L,
21,1,29,2,L,F2,
22,1,29,2,L',D2,
23,1,29,2,U2,R',
24,1,29,2,B2,R,
25,1,15,2,L,U',
26,1,15,2,U',F,
27,1,15,2,B',R',
28,1,17,1,B',,
29,1,30,2,B,D2,
30,1,30,2,B',R2,
31,1,30,2,U2,F,
32,1,30,2,L2,F',
33,1,32,2,U,B',
34,1,32,2,L',D',
35,1,32,2,B',R,
36,1,41,1,L',,
37,1,43,2,U,R,
38,1,43,2,L',B,
39,1,46,2,U',L',
40,1,46,2,L',B',
41,1,46,2,B',U',
42,1,48,2,L,U2,
43,1,48,2,B,D',
44,1,48,2,L',B2,
45,1,48,2,U2,R,
46,1,48,2,B2,R',
47,1,33,1,L2,,
48,1,35,2,U,R2,
49,1,35,2,U',F2,
50,1,35,2,L2,D,
51,1,35,2,B2,D',
52,1,38,2,U,B2,
53,1,38,2,U',L2,
54,1,38,2,L2,D',
55,1,38,2,B2,D,
56,1,40,1,B2,,
57,3,1,1,U',,
58,3,6,1,U2,,
59,3,8,1,U,,
60,3,9,1,B,,
61,3,11,2,U,F',
62,3,11,2,B,L,
63,3,11,2,R',U,
64,3,24,2,B,L',
65,3,24,2,U',B,
66,3,26,2,B,L2,
67,3,26,2,B',D2,
68,3,26,2,U2,F',
69,3,26,2,R2,F,
70,3,12,2,B,U',
71,3,12,2,U',L,
72,3,12,2,R',F',
73,3,14,1,R',,
74,3,27,2,R',F2,
75,3,27,2,U2,L,
76,3,27,2,B2,L',
77,3,29,2,U,R',
78,3,29,2,R',F,
79,3,29,2,B',D',
80,3,15,2,B,U2,
81,3,15,2,B',R2,
82,3,15,2,U2,F,
83,3,15,2,R2,F',
84,3,17,2,U',B',
85,3,17,2,R',U',
86,3,17,2,B',R',
87,3,30,2,U,F,
88,3,30,2,B',R,
89,3,32,1,B',,
90,3,41,2,R,B',
91,3,41,2,U',L',
92,3,41,2,B',D,
93,3,43,1,R,,
94,3,46,2,R,B2,
95,3,46,2,R',U2,
96,3,46,2,U2,L',
97,3,46,2,B2,L,
98,3,48,2,U,R,
99,3,48,2,R,B,
100,3,48,2,B,U,
101,3,33,2,U,F2,
102,3,33,2,U',L2,
103,3,33,2,R2,D',
104,3,33,2,B2,D,
105,3,35,1,R2,,
106,3,38,1,B2,,
107,3,40,2,U,R2,
108,3,40,2,U',B2,
109,3,40,2,R2,D,
110,3,40,2,B2,D',
111,6,1,1,U,,
112,6,3,1,U2,,
113,6,8,1,U',,
114,6,9,2,F,U2,
115,6,9,2,F',L2,
116,6,9,2,U2,B,
117,6,9,2,L2,B',
118,6,11,2,U',F',
119,6,11,2,F',L',
120,6,11,2,L',U',
121,6,24,2,U,B,
122,6,24,2,L,D',
123,6,24,2,F',L,
124,6,26,1,F',,
125,6,12,2,U,L,
126,6,12,2,F,U,
127,6,12,2,L,F,
128,6,14,2,L,F2,
129,6,14,2,L',U2,
130,6,14,2,U2,R',
131,6,14,2,F2,R,
132,6,27,1,L,,
133,6,29,2,L,F',
134,6,29,2,U',R',
135,6,29,2,F',D,
136,6,15,1,F,,
137,6,17,2,U,B',
138,6,17,2,F,R,
139,6,17,2,L',U,
140,6,30,2,F,R',
141,6,30,2,L,D,
142,6,30,2,U',F,
143,6,32,2,F,R2,
144,6,32,2,F',D2,
145,6,32,2,U2,B',
146,6,32,2,L2,B,
147,6,41,2,U,L',
148,6,41,2,F',D',
149,6,41,2,L',B,
150,6,43,2,L',B2,
151,6,43,2,U2,R,
152,6,43,2,F2,R',
153,6,46,1,L',,
154,6,48,2,F,U',
155,6,48,2,L,D2,
156,6,48,2,U',R,
157,6,48,2,L',B',
158,6,33,2,U,L2,
159,6,33,2,U',F2,
160,6,33,2,F2,D',
161,6,33,2,L2,D,
162,6,35,1,F2,,
163,6,38,1,L2,,
164,6,40,2,U,B2,
165,6,40,2,U',R2,
166,6,40,2,F2,D,
167,6,40,2,L2,D',
168,8,1,1,U2,,
169,8,3,1,U',,
170,8,6,1,U,,
171,8,9,2,R,U',
172,8,9,2,U',B,
173,8,9,2,F',L',
174,8,11,1,F',,
175,8,24,2,R,D,
176,8,24,2,F,D2,
177,8,24,2,F',L2,
178,8,24,2,U2,B,
179,8,24,2,R2,B',
180,8,26,2,U,F',
181,8,26,2,R',D',
182,8,26,2,F',L,
183,8,12,2,R,U2,
184,8,12,2,R',F2,
185,8,12,2,U2,L,
186,8,12,2,F2,L',
187,8,14,2,U',R',
188,8,14,2,R',F',
189,8,14,2,F',U',
190,8,27,2,U,L,
191,8,27,2,R,D2,
192,8,27,2,F,D',
193,8,27,2,R',F,
194,8,29,1,R',,
195,8,15,2,U,F,
196,8,15,2,R,U,
197,8,15,2,F,R,
198,8,17,2,F,R2,
199,8,17,2,F',U2,
200,8,17,2,U2,B',
201,8,17,2,R2,B,
202,8,30,1,F,,
203,8,32,2,F,R',
