,side,position,grade,first_move,second_move,third_move
0,1,3,5,L,U2,D2
1,1,3,5,L',B2,D2
2,1,3,5,U2,R,D2
3,1,3,5,B2,R',D2
4,1,6,4,L,U2,D2
5,1,6,4,L',B2,D2
6,1,6,4,U2,R,D2
7,1,6,4,B2,R',D2
8,1,8,1,U2,,
9,1,12,1,L,,
10,1,14,4,L,U2,D2
11,1,14,4,L',B2,D2
12,1,14,4,U2,R,D2
13,1,14,4,B2,R',D2
14,1,27,3,L,U2,D2
15,1,27,3,L',B2,D2
16,1,27,3,U2,R,D2
17,1,27,3,B2,R',D2
18,1,29,2,L,F2,
19,1,29,2,L',D2,
20,1,29,2,U2,R',
21,1,29,2,B2,R,
22,1,33,1,L2,,
23,1,35,5,L,U2,D2
24,1,35,5,L',B2,D2
25,1,35,5,U2,R,D2
26,1,35,5,B2,R',D2
27,1,38,4,L,U2,D2
28,1,38,4,L',B2,D2
29,1,38,4,U2,R,D2
30,1,38,4,B2,R',D2
31,1,40,1,B2,,
32,1,41,1,L',,
33,1,43,5,L,U2,D2
34,1,43,5,L',B2,D2
35,1,43,5,U2,R,D2
36,1,43,5,B2,R',D2
37,1,46,4,L,U2,D2
38,1,46,4,L',B2,D2
39,1,46,4,U2,R,D2
40,1,46,4,B2,R',D2
41,1,48,2,L,U2,
42,1,48,2,L',B2,
43,1,48,2,U2,R,
44,1,48,2,B2,R',
45,2,7,1,U2,,
46,2,34,2,U2,F2,
47,2,34,2,B2,D2,
48,2,39,1,B2,,
49,3,1,5,R',F2,D2
50,3,1,5,U2,L,D2
51,3,1,5,B2,L',D2
52,3,6,1,U2,,
53,3,8,4,R',F2,D2
54,3,8,4,U2,L,D2
55,3,8,4,B2,L',D2
56,3,12,4,R',F2,D2
57,3,12,4,U2,L,D2
58,3,12,4,B2,L',D2
59,3,14,1,R',,
60,3,27,2,R',F2,
61,3,27,2,U2,L,
62,3,27,2,B2,L',
63,3,29,4,R',F2,D2
64,3,29,4,U2,L,D2
65,3,29,4,B2,L',D2
66,3,33,5,R',F2,D2
67,3,33,5,U2,L,D2
68,3,33,5,B2,L',D2
69,3,35,1,R2,,
70,3,38,1,B2,,
71,3,40,4,R',F2,D2
72,3,40,4,U2,L,D2
73,3,40,4,B2,L',D2
74,3,41,4,R',F2,D2
75,3,41,4,U2,L,D2
76,3,41,4,B2,L',D2
77,3,43,1,R,,
78,3,46,2,R,B2,
79,3,46,2,R',U2,
80,3,46,2,U2,L',
81,3,46,2,B2,L,
82,3,48,3,R',F2,D2
83,3,48,3,U2,L,D2
84,3,48,3,B2,L',D2
85,4,5,1,U2,,
86,4,20,1,L,,
87,4,21,2,L,F2,
88,4,21,2,U2,R',
89,4,36,1,L2,,
90,4,37,2,U2,R2,
91,4,37,2,L2,D2,
92,4,44,1,L',,
93,4,45,2,L',B2,
94,4,45,2,U2,R,
95,5,4,1,U2,,
96,5,20,2,R',F2,
97,5,20,2,U2,L,
98,5,21,1,R',,
99,5,36,2,U2,L2,
100,5,36,2,R2,D2,
101,5,37,1,R2,,
102,5,44,2,R,B2,
103,5,44,2,U2,L',
104,5,45,1,R,,
105,6,1,4,L,D2,R
106,6,1,4,L,D2,R'
107,6,1,4,L,D2,U2
108,6,1,4,L,D2,B2
109,6,3,1,U2,,
110,6,8,3,L,D2,R'
111,6,12,3,L,D2,U2
112,6,14,2,L,F2,
113,6,14,2,L',U2,
114,6,14,2,U2,R',
115,6,14,2,F2,R,
116,6,27,1,L,,
117,6,29,3,L,D2,R2
118,6,33,4,L,D2,R
119,6,33,4,L,D2,R'
120,6,33,4,L,D2,U2
121,6,33,4,L,D2,B2
122,6,35,1,F2,,
123,6,38,1,L2,,
124,6,40,3,L,D2,R
125,6,41,3,L,D2,B2
126,6,43,2,L',B2,
127,6,43,2,U2,R,
128,6,43,2,F2,R',
129,6,46,1,L',,
130,6,48,2,L,D2,
131,7,2,1,U2,,
132,7,34,1,F2,,
133,7,39,2,U2,B2,
134,7,39,2,F2,D2,
135,8,1,1,U2,,
136,8,3,4,R,D2,L
137,8,3,4,R,D2,L'
138,8,3,4,R,D2,F2
139,8,6,3,R,D2,L'
140,8,12,2,R,U2,
141,8,12,2,R',F2,
142,8,12,2,U2,L,
143,8,12,2,F2,L',
144,8,14,3,R,D2,F2
145,8,27,2,R,D2,
146,8,29,1,R',,
147,8,33,1,F2,,
148,8,35,4,R,D2,L
149,8,35,4,R,D2,L'
150,8,35,4,R,D2,F2
151,8,38,3,R,D2,L
152,8,40,1,R2,,
153,8,41,2,R,B2,
154,8,41,2,R',D2,
155,8,41,2,U2,L',
156,8,41,2,F2,L,
157,8,43,4,R,D2,F2
158,8,43,4,R,D2,L2
159,8,46,3,R,D2,L2
160,8,48,1,R,,
161,9,11,1,L,,
162,9,15,1,U2,,
163,9,17,2,L,U2,
164,9,17,2,L',B2,
165,9,17,2,U2,R,
166,9,17,2,B2,R',
167,9,24,1,L',,
168,9,26,1,L2,,
169,9,30,2,L,F2,
170,9,30,2,L',D2,
171,9,30,2,U2,R',
172,9,30,2,B2,R,
173,9,32,1,B2,,
174,10,16,1,U2,,
175,10,18,1,L',,
176,10,19,1,L,,
177,10,22,2,L,F2,
178,10,22,2,U2,R',
179,10,23,2,L',B2,
180,10,23,2,U2,R,
181,10,25,1,L2,,
182,10,31,2,U2,R2,
183,10,31,2,L2,D2,
184,11,9,1,L',,
185,11,15,2,L,F2,
186,11,15,2,L',U2,
187,11,15,2,U2,R',
188,11,15,2,F2,R,
189,11,17,1,U2,,
190,11,24,1,L2,,
191,11,26,1,L,,
192,11,30,1,F2,,
193,11,32,2,L,D2,
194,11,32,2,L',B2,
195,11,32,2,U2,R,
196,11,32,2,F2,R',
197,12,1,1,L',,
198,12,3,4,U2,D2,L
199,12,3,4,U2,D2,L'
200,12,3,4,U2,D2,F2
201,12,6,3,U2,D2,L'
202,12,8,2,L,F2,
203,12,8,2,L',U2,
204,12,8,2,U2,R',
205,12,8,2,F2,R,
206,12,14,3,U2,D2,F2
207,12,27,2,U2,D2,
208,12,29,1,F2,,
209,12,33,1,L,,
210,12,35,4,U2,D2,L
211,12,35,4,U2,D2,L'
212,12,35,4,U2,D2,F2
213,12,38,3,U2,D2,L
214,12,40,2,L,D2,
215,12,40,2,L',B2,
216,12,40,2,U2,R,
217,12,40,2,F2,R',
218,12,41,1,L2,,
219,12,43,4,U2,D2,F2
220,12,43,4,U2,D2,L2
221,12,46,3,U2,D2,L2
222,12,48,1,U2,,
223,13,28,1,F2,,
224,13,42,2,U2,B2,
225,13,42,2,F2,D2,
226,13,47,1,U2,,
227,14,1,4,F2,D2,R
228,14,1,4,F2,D2,R'
229,14,1,4,F2,D2,U2
230,14,1,4,F2,D2,B2
231,14,3,1,R,,
232,14,6,2,R,U2,
233,14,6,2,R',F2,
234,14,6,2,U2,L,
235,14,6,2,F2,L',
236,14,8,3,F2,D2,R'
237,14,12,3,F2,D2,U2
238,14,27,1,F2,,
239,14,29,3,F2,D2,R2
240,14,33,4,F2,D2,R
241,14,33,4,F2,D2,R'
242,14,33,4,F2,D2,U2
243,14,33,4,F2,D2,B2
244,14,35,1,R',,
245,14,38,2,R,B2,
246,14,38,2,R',D2,
247,14,38,2,U2,L',
248,14,38,2,F2,L,
249,14,40,3,F2,D2,R
250,14,41,3,F2,D2,B2
251,14,43,1,R2,,
252,14,46,1,U2,,
253,14,48,2,F2,D2,
254,15,9,1,U2,,
255,15,11,2,R,U2,
256,15,11,2,R',F2,
257,15,11,2,U2,L,
258,15,11,2,F2,L',
259,15,17,1,R,,
260,15,24,2,R,B2,
261,15,24,2,R',D2,
262,15,24,2,U2,L',
263,15,24,2,F2,L,
264,15,26,1,F2,,
265,15,30,1,R',,
266,15,32,1,R2,,
267,16,10,1,U2,,
268,16,18,2,R,B2,
269,16,18,2,U2,L',
270,16,19,2,R',F2,
271,16,19,2,U2,L,
272,16,22,1,R',,
273,16,23,1,R,,
274,16,25,2,U2,L2,
275,16,25,2,R2,D2,
276,16,31,1,R2,,
277,17,9,2,R,B2,
278,17,9,2,R',U2,
279,17,9,2,U2,L',
280,17,9,2,B2,L,
281,17,11,1,U2,,
282,17,15,1,R',,
283,17,24,1,B2,,
284,17,26,2,R,D2,
285,17,26,2,R',F2,
286,17,26,2,U2,L,
287,17,26,2,B2,L',
288,17,30,1,R2,,
289,17,32,1,R,,
290,18,10,1,L,,
291,18,16,2,L,U2,
292,18,16,2,B2,R',
293,18,19,1,L2,,
294,18,22,2,L2,F2,
295,18,22,2,B2,R2,
296,18,23,1,B2,,
297,18,25,1,L',,
298,18,31,2,L',D2,
299,18,31,2,B2,R,
300,19,10,1,L',,
301,19,16,2,L',U2,
302,19,16,2,F2,R,
303,19,18,1,L2,,
304,19,22,1,F2,,
305,19,23,2,F2,R2,
306,19,23,2,L2,B2,
307,19,25,1,L,,
308,19,31,2,L,D2,
309,19,31,2,F2,R',
310,20,4,1,L',,
311,20,5,2,L',U2,
312,20,5,2,F2,R,
313,20,21,1,F2,,
314,20,36,1,L,,
315,20,37,2,L,D2,
316,20,37,2,F2,R',
317,20,44,1,L2,,
318,20,45,2,F2,R2,
319,20,45,2,L2,B2,
320,21,4,2,R,U2,
321,21,4,2,F2,L',
322,21,5,1,R,,
323,21,20,1,F2,,
324,21,36,2,R',D2,
