,side,position,grade,first_move,second_move,third_move
0,1,3,1,U,,
1,1,6,1,U',,
2,1,8,1,U2,,
3,1,9,2,L,U,
4,1,11,3,U,R',U
5,1,11,3,L,U,L
6,1,11,3,U',L',U'
7,1,11,3,L',D,L'
8,1,12,1,L,,
9,1,14,2,U,R',
10,1,15,2,L,U',
11,1,17,3,U,R',U'
12,1,17,3,L,U',R
13,1,17,3,U',L',U
14,1,17,3,L',D',R'
15,1,24,3,L,U,L'
16,1,24,3,L,U2,D
17,1,24,3,U',L,D'
18,1,24,3,L',D,L
19,1,24,3,L',B2,D
20,1,24,3,U2,R,D
21,1,24,3,B2,R',D
22,1,26,2,L',D,
23,1,27,2,U',L,
24,1,29,2,L,F2,
25,1,29,2,L',D2,
26,1,29,2,U2,R',
27,1,29,2,B2,R,
28,1,30,3,L,U',R'
29,1,30,3,L,U2,D'
30,1,30,3,U',L,D
31,1,30,3,L',D',R
32,1,30,3,L',B2,D'
33,1,30,3,U2,R,D'
34,1,30,3,B2,R',D'
35,1,32,2,L',D',
36,1,33,1,L2,,
37,1,35,2,U,R2,
38,1,35,2,U',F2,
39,1,35,2,L2,D,
40,1,35,2,B2,D',
41,1,38,2,U,B2,
42,1,38,2,U',L2,
43,1,38,2,L2,D',
44,1,38,2,B2,D,
45,1,40,1,B2,,
46,1,41,1,L',,
47,1,43,2,U,R,
48,1,46,2,U',L',
49,1,48,2,L,U2,
50,1,48,2,L',B2,
51,1,48,2,U2,R,
52,1,48,2,B2,R',
53,2,4,1,U',,
54,2,5,1,U,,
55,2,7,1,U2,,
56,2,20,2,U',L,
57,2,21,2,U,R',
58,2,34,2,U2,F2,
59,2,34,2,B2,D2,
60,2,36,2,U',L2,
61,2,36,2,B2,D,
62,2,37,2,U,R2,
63,2,37,2,B2,D',
64,2,39,1,B2,,
65,2,44,2,U',L',
66,2,45,2,U,R,
67,3,1,1,U',,
68,3,6,1,U2,,
69,3,8,1,U,,
70,3,9,3,U,R,U'
71,3,9,3,U',L,U
72,3,9,3,R',U,L'
73,3,11,2,R',U,
74,3,12,2,U',L,
75,3,14,1,R',,
76,3,15,3,U,R,U
77,3,15,3,U',L,U'
78,3,15,3,R',U',R'
79,3,17,2,R',U',
80,3,24,3,U,R,D
81,3,24,3,R',U,L2
82,3,24,3,R',U',B2
83,3,24,3,R',F2,D'
84,3,24,3,U2,L,D'
85,3,24,3,B2,L',D'
86,3,26,3,U,R',D'
87,3,26,3,U',L',D
88,3,26,3,R',U,L
89,3,27,2,R',F2,
90,3,27,2,U2,L,
91,3,27,2,B2,L',
92,3,29,2,U,R',
93,3,30,3,U,R,D'
94,3,30,3,R',U,F2
95,3,30,3,R',U',R2
96,3,30,3,R',F2,D
97,3,30,3,U2,L,D
98,3,30,3,B2,L',D
99,3,32,3,U,R',D
100,3,32,3,U',L',D'
101,3,32,3,R',U',R
102,3,33,2,U,F2,
103,3,33,2,U',L2,
104,3,33,2,R2,D',
105,3,33,2,B2,D,
106,3,35,1,R2,,
107,3,38,1,B2,,
108,3,40,2,U,R2,
109,3,40,2,U',B2,
110,3,40,2,R2,D,
111,3,40,2,B2,D',
112,3,41,2,U',L',
113,3,43,1,R,,
114,3,46,2,R,B2,
115,3,46,2,R',U2,
116,3,46,2,U2,L',
117,3,46,2,B2,L,
118,3,48,2,U,R,
119,4,2,1,U,,
120,4,5,1,U2,,
121,4,7,1,U',,
122,4,20,1,L,,
123,4,21,2,L,F2,
124,4,21,2,U2,R',
125,4,34,2,U',F2,
126,4,34,2,L2,D,
127,4,36,1,L2,,
128,4,37,2,U2,R2,
129,4,37,2,L2,D2,
130,4,39,2,U,B2,
131,4,39,2,L2,D',
132,4,44,1,L',,
133,4,45,2,L',B2,
134,4,45,2,U2,R,
135,5,2,1,U',,
136,5,4,1,U2,,
137,5,7,1,U,,
138,5,20,2,R',F2,
139,5,20,2,U2,L,
140,5,21,1,R',,
141,5,34,2,U,F2,
142,5,34,2,R2,D',
143,5,36,2,U2,L2,
144,5,36,2,R2,D2,
145,5,37,1,R2,,
146,5,39,2,U',B2,
147,5,39,2,R2,D,
148,5,44,2,R,B2,
149,5,44,2,U2,L',
150,5,45,1,R,,
151,6,1,1,U,,
152,6,3,1,U2,,
153,6,8,1,U',,
154,6,9,3,U,L,U
155,6,9,3,L,D',L
156,6,9,3,L,D2,U'
157,6,9,3,U',R,U'
158,6,9,3,L',U',L'
159,6,11,2,L',U',
160,6,12,2,U,L,
161,6,14,2,L,F2,
162,6,14,2,L',U2,
163,6,14,2,U2,R',
164,6,14,2,F2,R,
165,6,15,3,U,L,U'
166,6,15,3,L,D,R
167,6,15,3,L,D2,U
168,6,15,3,U',R,U
169,6,15,3,L',U,R'
170,6,17,2,L',U,
171,6,24,2,L,D',
172,6,26,3,U,L',D
173,6,26,3,L,D',L'
174,6,26,3,U',R',D'
175,6,26,3,L',U',L
176,6,27,1,L,,
177,6,29,2,U',R',
178,6,30,2,L,D,
179,6,32,3,U,L',D'
180,6,32,3,L,D,R'
181,6,32,3,U',R',D
182,6,32,3,L',U,R
183,6,33,2,U,L2,
184,6,33,2,U',F2,
185,6,33,2,F2,D',
186,6,33,2,L2,D,
187,6,35,1,F2,,
188,6,38,1,L2,,
189,6,40,2,U,B2,
190,6,40,2,U',R2,
191,6,40,2,F2,D,
192,6,40,2,L2,D',
193,6,41,2,U,L',
194,6,43,2,L',B2,
195,6,43,2,U2,R,
