,side,position,grade,first_move,second_move,third_move
0,2,4,1,U',,
1,2,5,1,U,,
2,2,7,1,U2,,
3,2,10,2,B,L,
4,2,18,1,B,,
5,2,19,2,B,L2,
6,2,19,2,U2,F',
7,2,25,2,B,L',
8,2,13,3,U,R',F'
9,2,13,3,B,L,U'
10,2,13,3,U',L,F
11,2,13,3,B',R',U
12,2,20,2,U',L,
13,2,21,2,U,R',
14,2,28,3,U,R',F
15,2,28,3,B,L',D
16,2,28,3,U',L,F'
17,2,28,3,B',R,D'
18,2,16,2,B',R',
19,2,22,2,B',R2,
20,2,22,2,U2,F,
21,2,23,1,B',,
22,2,31,2,B',R,
23,2,42,3,U,R,B'
24,2,42,3,B,L',D'
25,2,42,3,U',L',B
26,2,42,3,B',R,D
27,2,44,2,U',L',
28,2,45,2,U,R,
29,2,47,3,U,R,B
30,2,47,3,B,L,U
31,2,47,3,U',L',B'
32,2,47,3,B',R',U'
33,2,34,2,U2,F2,
34,2,34,2,B2,D2,
35,2,36,2,U',L2,
36,2,36,2,B2,D,
37,2,37,2,U,R2,
38,2,37,2,B2,D',
39,2,39,1,B2,,
40,4,2,1,U,,
41,4,5,1,U2,,
42,4,7,1,U',,
43,4,10,3,U,B,L
44,4,10,3,L,F,U
45,4,10,3,U',F',L'
46,4,10,3,L',B',U'
47,4,18,2,U,B,
48,4,19,2,U',F',
49,4,25,3,U,B,L'
50,4,25,3,L,F',D'
51,4,25,3,U',F',L
52,4,25,3,L',B,D
53,4,13,2,L,F,
54,4,20,1,L,,
55,4,21,2,L,F2,
56,4,21,2,U2,R',
57,4,28,2,L,F',
58,4,16,3,U,B',R'
59,4,16,3,L,F,U'
60,4,16,3,U',F,R
61,4,16,3,L',B',U
62,4,22,2,U',F,
63,4,23,2,U,B',
64,4,31,3,U,B',R
65,4,31,3,L,F',D
66,4,31,3,U',F,R'
67,4,31,3,L',B,D'
68,4,42,2,L',B,
69,4,44,1,L',,
70,4,45,2,L',B2,
71,4,45,2,U2,R,
72,4,47,2,L',B',
73,4,34,2,U',F2,
74,4,34,2,L2,D,
75,4,36,1,L2,,
76,4,37,2,U2,R2,
77,4,37,2,L2,D2,
78,4,39,2,U,B2,
79,4,39,2,L2,D',
80,5,2,1,U',,
81,5,4,1,U2,,
82,5,7,1,U,,
83,5,10,3,U,F',L'
84,5,10,3,R,B,U'
85,5,10,3,U',B,L
86,5,10,3,R',F',U
87,5,18,2,U',B,
88,5,19,2,U,F',
89,5,25,3,U,F',L
90,5,25,3,R,B',D
91,5,25,3,U',B,L'
92,5,25,3,R',F,D'
93,5,13,2,R',F',
94,5,20,2,R',F2,
95,5,20,2,U2,L,
96,5,21,1,R',,
97,5,28,2,R',F,
98,5,16,3,U,F,R
99,5,16,3,R,B,U
100,5,16,3,U',B',R'
101,5,16,3,R',F',U'
102,5,22,2,U,F,
103,5,23,2,U',B',
104,5,31,3,U,F,R'
105,5,31,3,R,B',D'
106,5,31,3,U',B',R
107,5,31,3,R',F,D
108,5,42,2,R,B',
109,5,44,2,R,B2,
110,5,44,2,U2,L',
111,5,45,1,R,,
112,5,47,2,R,B,
113,5,34,2,U,F2,
114,5,34,2,R2,D',
115,5,36,2,U2,L2,
116,5,36,2,R2,D2,
117,5,37,1,R2,,
118,5,39,2,U',B2,
119,5,39,2,R2,D,
120,7,2,1,U2,,
121,7,4,1,U,,
122,7,5,1,U',,
123,7,10,2,F',L',
124,7,18,2,F',L2,
125,7,18,2,U2,B,
126,7,19,1,F',,
127,7,25,2,F',L,
128,7,13,3,U,L,F
129,7,13,3,F,R,U
130,7,13,3,U',R',F'
131,7,13,3,F',L',U'
132,7,20,2,U,L,
133,7,21,2,U',R',
134,7,28,3,U,L,F'
135,7,28,3,F,R',D'
136,7,28,3,U',R',F
137,7,28,3,F',L,D
138,7,16,2,F,R,
139,7,22,1,F,,
140,7,23,2,F,R2,
141,7,23,2,U2,B',
